data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro
2020-08-02 01:58:38.796502;210  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. B. DE MEDEIROS DF Nº 688;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;2573;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;264  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;C21;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERM LG VISCONDE DO CAIRÚ     ;VISCONDE DO CAIRU                    
2020-08-02 01:58:38.796502;R10  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;281  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;2671 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;3628 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;T4   ;SULNORTE;1;TERMINAL/PARADA;TERM.SUL AV DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   
2020-08-02 01:58:38.796502;1761 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CENTRO RUA URUGUAI   ;URUGUAI                              
2020-08-02 01:58:38.796502;G261 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. CENTRO B. DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;1761 ;CENTROBAIRRO;99999;TERMINAL/PARADA;TERMINAL CARIJÓS/PRAÇA MOEMA  ;PCA MOEMA
2020-08-02 01:58:38.796502;171  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SEN. SALGADO FILHO   ;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;2661 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;AV SENADOR SALGADO FILHO
2020-08-02 01:58:38.796502;441  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PEREIRA PAROBE                       
2020-08-02 01:58:38.796502;6172 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC                  ;PCA RUI BARBOSA
2020-08-02 01:58:38.796502;F02  ;SULNORTE;99999;TERMINAL/PARADA;TERMINAL ARENA                ;VOLUNTARIOS DA PATRIA                
2020-08-02 01:58:38.796502;LI.1 ;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERMINAL AZENHA               ;AZENHA                               
2020-08-02 01:58:38.796502;827  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL DE PERCURSO CAIRU    ;TERM CAIRU
2020-08-02 01:58:38.796502;A862 ;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERM. JOÃO DO COUTO(PRAÇA)    ;R JOAO DO COUTO
2020-08-02 01:58:38.796502;LI.1 ;BAIRROTERMINAL;1;TERMINAL/PARADA;TERMINAL ULBRA/CANOAS         ;BR CENTO DEZESSEIS                   
2020-08-02 01:58:38.796502;184  ;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. MARCIRIO DA S. BARBOSA  ;R MARCIRIO DA SILVA BARBOSA
2020-08-02 01:58:38.796502;7621 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CAIRU                ;R CAIRU
2020-08-02 01:58:38.796502;268  ;BAIRROCENTRO;1;TERMINAL/PARADA;TER.BAIRRO AV.BEIRA RIO B.NOVO;AV BEIRA RIO
2020-08-02 01:58:38.796502;G510 ;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.BAIRRO PCA. ALBERTO RAMOS;ALBERTO RAMOS                        
2020-08-02 01:58:38.796502;M79  ;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. ESTR.RETIRO DA P. GROSSA;ESTR RETIRO DA PONTA GROSSA
2020-08-02 01:58:38.796502;E56  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PCA PEREIRA PAROBE
2020-08-02 01:58:38.796502;V705;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL CPC                  ;PCA RUI BARBOSA
2020-08-02 01:58:38.796502;C12  ;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERM.TRAV. JOSE C. D. OLIVEIRA;JOSE CARLOS DIAS DE OLIVEIRA         
2020-08-02 01:58:38.796502;2568 ;BAIRROCENTROBAIRRO;1;TERMINAL/PARADA;TERM. MARIA LUIZA PERES       ;R MARIA LUIZA PERES
2020-08-02 01:58:38.796502;A87  ;TERMINALBAIRRO;99999;TERMINAL/PARADA;TERM.DR.A.M.NETO/ESQ.SCHNEIDER;R DO SCHNEIDER
2020-08-02 01:58:38.796502;66139;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PCA PEREIRA PAROBE
2020-08-02 01:58:38.796502;703  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CPC                  ;PCA RUI BARBOSA
